step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
0,seq0,0,A,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,400,40
1,seq0,1,B,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,790,79
2,seq0,2,C,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,1190,119
3,seq0,3,D,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,1590,159
4,seq0,0,A,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0,1720,172
5,seq0,1,B,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,1880,188
6,seq0,2,C,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,2020,202
7,seq0,3,D,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,2160,216
8,seq0,0,A,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.55,0.6326530612244898,0.5686274509803921,0,2230,223
9,seq0,1,B,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.391304347826087,0.48148148148148145,0.40350877192982454,0,2360,236
10,seq0,2,C,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,210,0.3559322033898305,0.2972972972972973,0.3559322033898305,0.3333333333333333,0,2530,253
11,seq0,3,D,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.43283582089552236,0.5094339622641509,0.42857142857142855,0,2630,263
12,seq0,0,A,4,4,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.6590909090909091,0.6666666666666666,0.5384615384615384,0,2700,270
13,seq0,1,B,4,4,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.5681818181818182,0.5384615384615384,0.42857142857142855,0,2790,279
14,seq0,2,C,4,4,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.45652173913043476,0.48148148148148145,0.3793103448275862,0,2870,287
15,seq0,3,D,4,4,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.5434782608695652,0.5686274509803921,0.42857142857142855,0,2930,293
16,seq0,0,A,5,5,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.6382978723404256,0.6666666666666666,0.5384615384615384,0,2990,299
17,seq0,1,B,5,5,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.5306122448979592,0.5686274509803921,0.40350877192982454,0,3060,306
18,seq0,2,C,5,5,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.3793103448275862,0,3140,314
19,seq0,3,D,5,5,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.6326530612244898,0.6326530612244898,0.40350877192982454,0,3190,319
20,seq0,0,A,6,6,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.6904761904761905,0.6326530612244898,0.5686274509803921,0,3240,324
21,seq0,1,B,6,6,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.6097560975609756,0.5384615384615384,0.42857142857142855,0,3310,331
22,seq0,2,C,6,6,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,250,0.45454545454545453,0.5348837209302325,0.48148148148148145,0.3559322033898305,0,3390,339
23,seq0,3,D,6,6,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.6904761904761905,0.6666666666666666,0.40350877192982454,0,3430,343
24,seq0,0,A,7,7,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.7380952380952381,0.7021276595744681,0.5384615384615384,0,3490,349
25,seq0,1,B,7,7,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.7,0.6666666666666666,0.45454545454545453,0,3520,352
26,seq0,2,C,7,7,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.5333333333333333,0.48148148148148145,0.3793103448275862,0,3570,357
27,seq0,3,D,7,7,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3793103448275862,0,3620,362
28,seq0,0,A,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.7317073170731707,0.7021276595744681,0.5094339622641509,0,3670,367
29,seq0,1,B,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.6585365853658537,0.6,0.42857142857142855,0,3730,373
30,seq0,2,C,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.5853658536585366,0.5686274509803921,0.3793103448275862,0,3760,376
31,seq0,3,D,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.75,0.7391304347826086,0.45454545454545453,0,3770,377
32,seq0,0,A,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.7560975609756098,0.7021276595744681,0.5384615384615384,0,3780,378
33,seq0,1,B,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.6829268292682927,0.6326530612244898,0.42857142857142855,0,3820,382
34,seq0,2,C,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.5476190476190477,0.5384615384615384,0.3559322033898305,0,3840,384
35,seq0,3,D,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7391304347826086,0.3793103448275862,0,3860,386
36,seq0,0,A,10,10,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.775,0.7391304347826086,0.5094339622641509,0,3880,388
